n_lags,hidden_units,epochs,learning_rate,mse
16,70,300,0.009,0.3567338558662446
16,70,300,0.01,0.20388874784361408
16,70,400,0.001,0.3181485245315048
16,70,400,0.002,0.16894678852945416
16,70,400,0.003,0.2267712122005292
16,70,400,0.004,0.43671468851530193
16,70,400,0.005,0.22319668583808008
16,70,400,0.006,0.23626181284125158
16,70,400,0.007,0.21876323145442242
16,70,400,0.008,0.2068638219112147
16,70,400,0.009,0.2059068165162292
16,70,400,0.01,0.20200329090338515
16,70,500,0.001,0.2340223088850092
16,70,500,0.002,0.2417668613167935
16,70,500,0.003,0.24928070474938835
16,70,500,0.004,0.22688376815332012
16,70,500,0.005,0.23107288421284614
16,70,500,0.006,0.22054271701806052
16,70,500,0.007,0.21438270579114563
16,70,500,0.008,0.18764404021543477
16,70,500,0.009,0.218347201052389
16,70,500,0.01,0.20511452690105933
16,80,200,0.001,0.2823078552136853
16,80,200,0.002,0.18651262147028047
16,80,200,0.003,0.226132185729689
